CCS|label
0119|Varicose veins of lower extremity
0120|Hemorrhoids
0121|Other diseases of veins and lymphatics
0122|Pneumonia (except that caused by tuberculosis or sexually transmitted disease)
0123|Influenza
0124|Acute and chronic tonsillitis
0125|Acute bronchitis
0126|Other upper respiratory infections
0127|Chronic obstructive pulmonary disease and bronchiectasis
0128|Asthma
0129|Aspiration pneumonitis; food/vomitus
0130|Pleurisy; pneumothorax; pulmonary collapse
0131|Respiratory failure; insufficiency; arrest (adult)
0132|Lung disease due to external agents
0133|Other lower respiratory disease
0134|Other upper respiratory disease
0135|Intestinal infection
0136|Disorders of teeth and jaw
0137|Diseases of mouth; excluding dental
0138|Esophageal disorders
0139|Gastroduodenal ulcer (except hemorrhage)
0140|Gastritis and duodenitis
0141|Other disorders of stomach and duodenum
0142|Appendicitis and other appendiceal conditions
0143|Abdominal hernia
0144|Regional enteritis and ulcerative colitis
0145|Intestinal obstruction without hernia
0146|Diverticulosis and diverticulitis
0147|Anal and rectal conditions
0148|Peritonitis and intestinal abscess
0149|Biliary tract disease
0150|Liver disease; alcohol-related
0151|Other liver diseases
0152|Pancreatic disorders (not diabetes)
0153|Gastrointestinal hemorrhage
0154|Noninfectious gastroenteritis
0155|Other gastrointestinal disorders
0156|Nephritis; nephrosis; renal sclerosis
0157|Acute and unspecified renal failure
0158|Chronic kidney disease
0159|Urinary tract infections
0160|Calculus of urinary tract
0161|Other diseases of kidney and ureters
0162|Other diseases of bladder and urethra
0163|Genitourinary symptoms and ill-defined conditions
0164|Hyperplasia of prostate
0165|Inflammatory conditions of male genital organs
0166|Other male genital disorders
0167|Nonmalignant breast conditions
0168|Inflammatory diseases of female pelvic organs
0169|Endometriosis
0170|Prolapse of female genital organs
0171|Menstrual disorders
0172|Ovarian cyst
0173|Menopausal disorders
0174|Female infertility
0175|Other female genital disorders
0176|Contraceptive and procreative management
0177|Spontaneous abortion
0178|Induced abortion
0179|Postabortion complications
0180|Ectopic pregnancy
0181|Other complications of pregnancy
0182|Hemorrhage during pregnancy; abruptio placenta; placenta previa
0183|Hypertension complicating pregnancy; childbirth and the puerperium
0184|Early or threatened labor
0185|Prolonged pregnancy
0186|Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium
0187|Malposition; malpresentation
0188|Fetopelvic disproportion; obstruction
0189|Previous C-section
0190|Fetal distress and abnormal forces of labor
0191|Polyhydramnios and other problems of amniotic cavity
0192|Umbilical cord complication
0193|OB-related trauma to perineum and vulva
0194|Forceps delivery
0195|Other complications of birth; puerperium affecting management of mother
0196|Other pregnancy and delivery including normal
0197|Skin and subcutaneous tissue infections
0198|Other inflammatory condition of skin
0199|Chronic ulcer of skin
0200|Other skin disorders
0201|Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease)
0202|Rheumatoid arthritis and related disease
0203|Osteoarthritis
0204|Other non-traumatic joint disorders
0205|Spondylosis; intervertebral disc disorders; other back problems
0206|Osteoporosis
0207|Pathological fracture
0208|Acquired foot deformities
0209|Other acquired deformities
0210|Systemic lupus erythematosus and connective tissue disorders
0211|Other connective tissue disease
0212|Other bone disease and musculoskeletal deformities
0213|Cardiac and circulatory congenital anomalies
0214|Digestive congenital anomalies
0215|Genitourinary congenital anomalies
0216|Nervous system congenital anomalies
0217|Other congenital anomalies
0218|Liveborn
0219|Short gestation; low birth weight; and fetal growth retardation
0220|Intrauterine hypoxia and birth asphyxia
0221|Respiratory distress syndrome
0222|Hemolytic jaundice and perinatal jaundice
0223|Birth trauma
0224|Other perinatal conditions
0225|Joint disorders and dislocations; trauma-related
0226|Fracture of neck of femur (hip)
0227|Spinal cord injury
0228|Skull and face fractures
0229|Fracture of upper limb
0230|Fracture of lower limb
0231|Other fractures
0232|Sprains and strains
0233|Intracranial injury
0234|Crushing injury or internal injury
0235|Open wounds of head; neck; and trunk
0236|Open wounds of extremities
0237|Complication of device; implant or graft
0238|Complications of surgical procedures or medical care
0239|Superficial injury; contusion
0240|Burns
0241|Poisoning by psychotropic agents
0242|Poisoning by other medications and drugs
0243|Poisoning by nonmedicinal substances
0244|Other injuries and conditions due to external causes
0245|Syncope
0246|Fever of unknown origin
0247|Lymphadenitis
0248|Gangrene
0249|Shock
0250|Nausea and vomiting
0251|Abdominal pain
0252|Malaise and fatigue
0253|Allergic reactions
0254|Rehabilitation care; fitting of prostheses; and adjustment of devices
0255|Administrative/social admission
0256|Medical examination/evaluation
0257|Other aftercare
0258|Other screening for suspected conditions (not mental disorders or infectious disease)
0259|Residual codes; unclassified
0260|E Codes: All (external causes of injury and poisoning)
2601|E Codes: Cut/pierceb
2602|E Codes: Drowning/submersion
2603|E Codes: Fall
2604|E Codes: Fire/burn
2605|E Codes: Firearm
2606|E Codes: Machinery
2607|E Codes: Motor vehicle traffic (MVT)
2608|E Codes: Pedal cyclist; not MVT
2609|E Codes: Pedestrian; not MVT
2610|E Codes: Transport; not MVT
2611|E Codes: Natural/environment
2612|E Codes: Overexertion
2613|E Codes: Poisoning
2614|E Codes: Struck by; against
2615|E Codes: Suffocation
2616|E Codes: Adverse effects of medical care
2617|E Codes: Adverse effects of medical drugs
2618|E Codes: Other specified and classifiable
2619|E Codes: Other specified; NEC
2620|E Codes: Unspecified
2621|E Codes: Place of occurrence
